batch_size,learning_rate,weight_decay,repeats,score
8,1e-05,0.1,0,10.09847354888916
8,1e-05,0.01,0,10.10832405090332
8,2e-05,0.1,0,10.140551567077637
8,2e-05,0.01,0,10.118341445922852
8,3e-05,0.1,0,9.922319412231445
8,3e-05,0.01,0,9.901800155639648
8,5e-05,0.1,0,9.907857894897461
8,5e-05,0.01,0,9.945359230041504
16,1e-05,0.1,0,10.51978874206543
16,1e-05,0.01,0,10.532731056213379
16,2e-05,0.1,0,10.704614639282227
16,2e-05,0.01,0,10.92424488067627
16,3e-05,0.1,0,10.623915672302246
16,3e-05,0.01,0,10.562032699584961
16,5e-05,0.1,0,10.920646667480469
16,5e-05,0.01,0,11.11020565032959
32,1e-05,0.1,0,10.11998462677002
32,1e-05,0.01,0,9.857601165771484
32,2e-05,0.1,0,10.57574462890625
32,2e-05,0.01,0,10.715011596679688
32,3e-05,0.1,0,10.432791709899902
32,3e-05,0.01,0,10.69637680053711
32,5e-05,0.1,0,10.84697437286377
32,5e-05,0.01,0,10.995953559875488
